fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,mcns_match,match_method,mcns_n,mcns_majority_nt,mcns_majority_frac
LC9,179,-0.0,ACH,LC9,exact,219,ACH,1.0
LC6,120,-0.0,ACH,LC6,exact,124,ACH,1.0
LC40,37,-0.0,ACH,LC40,exact,34,ACH,1.0
LC4,103,-0.0,ACH,LC4,exact,126,ACH,1.0
LC36,35,-0.0,ACH,LC36,exact,32,ACH,1.0
LC33,29,-0.0,GLUT,LC33,exact,32,GLUT,1.0
LLPC3,204,-0.0,ACH,LLPC3,exact,219,ACH,1.0
LLPC1,219,-0.0,ACH,LLPC1,exact,285,ACH,1.0
LHPV5c1,29,-0.0,ACH,LHPV5c1,exact,12,ACH,1.0
LHPV5b3,20,-0.0,ACH,LHPV5b3,exact,14,ACH,1.0
LPC1,164,-0.0,ACH,LPC1,exact,224,ACH,1.0
LLPC2,234,-0.0,ACH,LLPC2,exact,250,ACH,1.0
