root_id,nt_label,partner_Dm9,partner_Mi4,partner_R7,partner_Tm20,partner_Mi15,partner_Mi1,partner_Dm2,partner_L1,partner_Mi9,partner_Tm5c,partner_MLt1,partner_aMe12,partner_L3,partner_DmDRA2,partner_Dm11,partner_Tm5b,partner_MTe50,partner_Dm8a,partner_aMe5,partner_Dm8b,partner_MeLp1,partner_Tm9,partner_R8,partner_C2,partner_Dm4,partner_Mi10,partner_TmY9q,partner_Dm12,partner_Tm5e,partner_L2
720575940614727720,GLUT,0.36363636363636365,0.16042780748663102,0.09090909090909091,0.053475935828877004,0.13903743315508021,0.03208556149732621,0.0,0.0,0.0,0.12299465240641712,0.0374331550802139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940614838323,ACH,0.3150684931506849,0.1095890410958904,0.1780821917808219,0.0867579908675799,0.0273972602739726,0.091324200913242,0.0821917808219178,0.0410958904109589,0.0228310502283105,0.0228310502283105,0.0,0.0,0.0228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940614850479,GABA,0.31176470588235294,0.1411764705882353,0.11764705882352941,0.13529411764705881,0.03529411764705882,0.052941176470588235,0.11176470588235295,0.029411764705882353,0.03529411764705882,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940614921391,ACH,0.20833333333333334,0.16203703703703703,0.09259259259259259,0.06481481481481481,0.18981481481481483,0.046296296296296294,0.05092592592592592,0.041666666666666664,0.05092592592592592,0.06481481481481481,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940614929361,GLUT,0.43548387096774194,0.1774193548387097,0.0,0.12903225806451613,0.0,0.0,0.16129032258064516,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940614937666,ACH,0.3067484662576687,0.0,0.2392638036809816,0.0,0.1411042944785276,0.07975460122699386,0.10429447852760736,0.06134969325153374,0.03680981595092025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615052946,GABA,0.275,0.18125,0.13125,0.1,0.0,0.09375,0.075,0.06875,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615130110,ACH,0.0,0.15428571428571428,0.29714285714285715,0.09714285714285714,0.18857142857142858,0.10285714285714286,0.0,0.05142857142857143,0.0,0.045714285714285714,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03428571428571429
720575940615130274,ACH,0.26666666666666666,0.12444444444444444,0.1288888888888889,0.07111111111111111,0.09777777777777778,0.05333333333333334,0.07555555555555556,0.05333333333333334,0.02666666666666667,0.0,0.04888888888888889,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615146547,ACH,0.0,0.2158273381294964,0.26618705035971224,0.1366906474820144,0.22302158273381295,0.050359712230215826,0.06474820143884892,0.04316546762589928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615199143,GLUT,0.38461538461538464,0.13736263736263737,0.16483516483516483,0.0,0.0,0.06593406593406594,0.07692307692307693,0.027472527472527472,0.06043956043956044,0.0,0.03296703296703297,0.0,0.04945054945054945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615280551,ACH,0.30434782608695654,0.11857707509881422,0.11067193675889328,0.08695652173913043,0.019762845849802372,0.07509881422924901,0.11067193675889328,0.039525691699604744,0.0,0.0,0.023715415019762844,0.0,0.03162055335968379,0.0,0.02766798418972332,0.0,0.05138339920948617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615468987,GLUT,0.4423076923076923,0.08653846153846154,0.25961538461538464,0.0,0.0,0.14423076923076922,0.0,0.0673076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
