cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
Sm17,13,0.7732283485249176,1.0300060592743172,0.35600239026796454,-0.7212808615024239,0.8201798201798202,1.0,GABA,0.8461538461538461,3,"{""GABA"": 11, ""GLUT"": 1, ""ACH"": 1}"
ORN_VL1,30,0.9182958340544896,1.122024611840356,0.22272179608622064,-0.9147231270845109,0.8161838161838162,1.0,ACH,0.6666666666666666,2,"{""ACH"": 20, ""SER"": 10}"
ORN_DA3,13,0.6193821946787638,1.0129833933215617,0.3521703531119479,-1.1176443308323574,0.9040959040959041,1.0,SER,0.8461538461538461,2,"{""SER"": 11, ""ACH"": 2}"
Dm16,59,0.9646900825612558,1.153874290841402,0.16633265923760568,-1.1373846191558634,0.8801198801198801,1.0,GABA,0.6101694915254238,2,"{""GABA"": 36, ""GLUT"": 23}"
Dm4,60,0.9603622703154779,1.1565552389527376,0.16213461446064573,-1.2100622022626808,0.8931068931068931,1.0,GLUT,0.6166666666666667,2,"{""GLUT"": 37, ""GABA"": 23}"
ORN_VA1v,60,0.9603622703154779,1.1514508035060367,0.15771290506888141,-1.2116226830461365,0.8931068931068931,1.0,ACH,0.6166666666666667,2,"{""ACH"": 37, ""SER"": 23}"
ENS3,16,0.6962122601251458,1.062476698845397,0.3022514121994459,-1.2117873529688101,0.8681318681318682,1.0,SER,0.8125,2,"{""SER"": 13, ""ACH"": 3}"
LB1c,10,0.4689955935892812,0.9753882162051605,0.3959296538643298,-1.278996452206636,0.9600399600399601,1.0,SER,0.9,2,"{""SER"": 9, ""ACH"": 1}"
WED040,10,0.4689955935892812,0.9785300133476551,0.39178438095223683,-1.300548068097927,0.955044955044955,1.0,GLUT,0.9,2,"{""GLUT"": 9, ""ACH"": 1}"
FB5R,10,0.4689955935892812,0.9787154770916636,0.3843736346818044,-1.3261052203134152,0.9690309690309691,1.0,GLUT,0.9,2,"{""GLUT"": 9, ""DA"": 1}"
SA_DMT_ADMN_11,10,0.4689955935892812,0.9914023171392778,0.38766979948270874,-1.347555894854527,0.9590409590409591,1.0,ACH,0.9,2,"{""ACH"": 9, ""GLUT"": 1}"
SMP107,10,0.4689955935892812,0.988091281247326,0.38145145953491155,-1.3608433646864462,0.965034965034965,1.0,GLUT,0.9,2,"{""GLUT"": 9, ""ACH"": 1}"
TuBu05,10,0.4689955935892812,1.001169378556716,0.38699638001862185,-1.3751389223377932,0.965034965034965,1.0,ACH,0.9,2,"{""ACH"": 9, ""GABA"": 1}"
AN_GNG_164,10,0.4689955935892812,0.9906806996357501,0.37321947243399006,-1.3977971262974158,0.9690309690309691,1.0,ACH,0.9,2,"{""ACH"": 9, ""SER"": 1}"
JO-F,43,0.8454801825506668,1.134788117683486,0.19833574862345824,-1.4586777075779327,0.9210789210789211,1.0,ACH,0.7906976744186046,3,"{""ACH"": 34, ""SER"": 8, ""GLUT"": 1}"
PFNp,158,1.0198220093446957,1.178199070895433,0.10182799842995173,-1.5553390422348938,0.942057942057942,1.0,ACH,0.689873417721519,3,"{""ACH"": 109, ""DA"": 45, ""SER"": 4}"
LPi09,83,0.9438767571287909,1.163506394124238,0.13423858557772295,-1.6361140580424511,0.949050949050949,1.0,GABA,0.6385542168674698,2,"{""GABA"": 53, ""GLUT"": 30}"
CL123,12,0.41381685030363374,1.0115915428171165,0.3635290892351062,-1.6443654998042876,0.974025974025974,1.0,ACH,0.9166666666666666,2,"{""ACH"": 11, ""SER"": 1}"
JO-A,32,0.7578784625383954,1.114827602007058,0.21453661632268128,-1.663814530065025,0.951048951048951,1.0,ACH,0.78125,2,"{""ACH"": 25, ""SER"": 7}"
Dm20,62,0.8837342952634009,1.161577675219474,0.163598617392646,-1.6983235212143215,0.951048951048951,1.0,GABA,0.7580645161290323,3,"{""GABA"": 47, ""GLUT"": 14, ""ACH"": 1}"
OCC02b,13,0.39124356362925566,1.0169094368321125,0.35223247456239803,-1.7762867378431344,0.9820179820179821,1.0,GLUT,0.9230769230769231,2,"{""GLUT"": 12, ""ACH"": 1}"
JO-EVL,13,0.39124356362925566,1.0238378071219358,0.3439707886772824,-1.8390929239232223,0.988011988011988,1.0,ACH,0.9230769230769231,2,"{""ACH"": 12, ""GLUT"": 1}"
