cell_type,n_neurons,entropy,dominant_nt,dominant_frac,p_ACH,p_GABA,p_GLUT,p_DA,p_SER,p_OCT,p_fast_transmitters,is_seed,already_name_matched,literature_confirmed,entropy_z,js_histamine_blindspot,js_ORN_SER_confusion,js_Dm_GLUT_confusion,best_pattern_heuristic,best_js_heuristic,pattern_threshold_heuristic,in_neighborhood_heuristic,best_pattern_calibrated,best_js_calibrated,best_p_calibrated,best_q_calibrated,significant,q_Dm_GLUT_confusion,q_ORN_SER_confusion,q_histamine_blindspot,p_Dm_GLUT_confusion,p_ORN_SER_confusion,p_histamine_blindspot,matched_patterns,entropy_p_value,entropy_z_reconstructed,entropy_q_value,entropy_channel_significant,best_pattern,best_js,in_neighborhood,is_novel_candidate,gt_verified_nt,gt_agrees_with_pattern
Dm12,152,0.971715080223734,GABA,0.5986842105263158,0.0,0.5986842105263158,0.40131578947368424,0.0,0.0,0.0,1.0,True,True,True,-1.7716526776392147,0.10243428137117355,0.8628487251257598,0.06848700520058817,Dm_GLUT_confusion,0.06848700520058817,0.12,True,Dm_GLUT_confusion,0.06848700520058817,0.02699228791773778,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.02699228791773778,0.987288311327808,0.10770869266170724,Dm_GLUT_confusion,0.9588020598970052,-1.7919821583774256,1.0,False,Dm_GLUT_confusion,0.06848700520058817,True,False,GLUT,True
Dm1,45,0.5665095065529053,GABA,0.8666666666666667,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0,1.0,True,True,True,-2.9308271135026147,0.21559522783917137,0.8485707819083772,0.06848700520058817,Dm_GLUT_confusion,0.06848700520058817,0.12,True,Dm_GLUT_confusion,0.06848700520058817,0.037275064267352165,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.037275064267352165,0.9835257405778965,0.445931087625246,Dm_GLUT_confusion,0.9971501424928754,-2.9965180805911005,1.0,False,Dm_GLUT_confusion,0.06848700520058817,True,False,GLUT,True
R8,475,1.3756291741423423,ACH,0.5789473684210527,0.5789473684210527,0.09052631578947369,0.32,0.0,0.00631578947368421,0.004210526315789474,0.9894736842105263,True,True,True,3.547417257425272,0.06050748082358681,0.38409609219813473,0.44928944627871104,histamine_blindspot,0.06050748082358681,0.24906688471870347,True,histamine_blindspot,0.06050748082358681,0.00769721320900596,0.9380801404398125,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.9278338763291281,0.999919341999732,0.00769721320900596,histamine_blindspot,9.99950002499875e-05,3.4422318362508135,0.020098995050247488,True,histamine_blindspot,0.06050748082358681,True,False,"ACH,HIST",True
Lai,140,1.238858362226506,GABA,0.5,0.45714285714285713,0.5,0.03571428571428571,0.007142857142857143,0.0,0.0,0.9928571428571428,False,True,False,0.7466231841474937,0.221009162257347,0.40512915626670876,0.28970883442104256,histamine_blindspot,0.221009162257347,0.24906688471870347,True,histamine_blindspot,0.221009162257347,0.03439183798920853,0.9380801404398125,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.08817189658837277,0.9999986396225108,0.03439183798920853,histamine_blindspot,0.21973901304934754,0.7702402445078627,1.0,False,histamine_blindspot,0.221009162257347,True,False,GLUT,False
ORN_DL4,41,-0.0,SER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,True,True,-5.989229257331789,0.9409627085521443,0.0,0.999999999997836,ORN_SER_confusion,0.0,0.12,True,ORN_SER_confusion,0.0,0.0304351909286682,0.9999999531006136,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.4575620700365448,0.0304351909286682,0.21068949995454778,ORN_SER_confusion,1.0,-5.708589177090698,1.0,False,ORN_SER_confusion,0.0,True,False,ACH,True
ORN_DL3,68,-0.0,SER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,True,True,-7.491150864753671,0.9409627085521443,0.0,0.999999999997836,ORN_SER_confusion,0.0,0.12,True,ORN_SER_confusion,0.0,0.0304351909286682,0.9999999531006136,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.4575620700365448,0.0304351909286682,0.21068949995454778,ORN_SER_confusion,1.0,-7.556123761722824,1.0,False,ORN_SER_confusion,0.0,True,False,ACH,True
mAL4,25,1.0783220795483648,GLUT,0.68,0.04,0.28,0.68,0.0,0.0,0.0,1.0,False,False,False,0.0262762298679481,0.06055036930436376,0.7901010175731084,0.08885277976310957,histamine_blindspot,0.06055036930436376,0.24906688471870347,True,Dm_GLUT_confusion,0.08885277976310957,0.10775421139334684,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.10775421139334684,0.9900385838261416,0.1079757896756286,,0.5540722963851807,-0.024687024948125785,1.0,False,Dm_GLUT_confusion,0.08885277976310957,False,False,,
LPi08,31,1.0584546687309146,GLUT,0.6774193548387096,0.03225806451612903,0.2903225806451613,0.6774193548387096,0.0,0.0,0.0,1.0,False,False,False,-0.1822478344681911,0.06411495483104002,0.8035523443787955,0.08129388022574531,histamine_blindspot,0.06411495483104002,0.24906688471870347,True,Dm_GLUT_confusion,0.08129388022574531,0.0930874030183868,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.0930874030183868,0.989240301721061,0.1079757896756286,,0.6183190840457977,-0.1762708311718464,1.0,False,Dm_GLUT_confusion,0.08129388022574531,False,False,,
Tlp14,48,0.77655578544446,GLUT,0.7708333333333334,0.0,0.22916666666666666,0.7708333333333334,0.0,0.0,0.0,1.0,False,False,False,-1.9062653684986224,0.13319161668358614,0.8986297699613343,0.10438034281441794,Dm_GLUT_confusion,0.10438034281441794,0.12,True,Dm_GLUT_confusion,0.10438034281441794,0.1792947576788182,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.1792947576788182,0.989240301721061,0.4520562064842776,,0.9699515024248787,-1.9226729404199652,1.0,False,Dm_GLUT_confusion,0.10438034281441794,False,False,GLUT,True
Dm11,107,0.8913309584070233,GLUT,0.6915887850467289,0.0,0.308411214953271,0.6915887850467289,0.0,0.0,0.0,1.0,False,False,False,-2.0688433609238217,0.10892172482770329,0.8878244576455853,0.06224185507365622,Dm_GLUT_confusion,0.06224185507365622,0.12,True,Dm_GLUT_confusion,0.06224185507365622,0.07830102827080454,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.07830102827080454,0.9883856535862543,0.2111901896784225,,0.9801509924503775,-2.134035067720154,1.0,False,Dm_GLUT_confusion,0.06224185507365622,False,False,GLUT,True
LPi06,24,0.4138168503036337,GLUT,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,1.0,False,False,False,-2.716193972931013,0.22398876009601149,0.9325728753829283,0.23301479548215448,histamine_blindspot,0.22398876009601149,0.24906688471870347,True,Dm_GLUT_confusion,0.23301479548215448,0.33038679721543207,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.33038679721543207,0.9921272161701018,0.4520562064842776,,0.9950502474876256,-2.6403721687767705,1.0,False,Dm_GLUT_confusion,0.23301479548215448,False,False,,
DmDRA1,37,0.4804334574529622,GLUT,0.918918918918919,0.02702702702702703,0.05405405405405406,0.918918918918919,0.0,0.0,0.0,1.0,False,False,False,-3.107277646459849,0.2094976631871947,0.8693890221586607,0.2806076170648243,histamine_blindspot,0.2094976631871947,0.24906688471870347,True,Dm_GLUT_confusion,0.2806076170648243,0.33038679721543207,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.33038679721543207,0.9930174795411187,0.4520562064842776,,0.9985000749962502,-3.1095110407109345,1.0,False,Dm_GLUT_confusion,0.2806076170648243,False,False,,
LPi04,72,0.6500224216483541,GLUT,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,1.0,False,False,False,-3.12924817817035,0.16254744081950556,0.9098579861690435,0.14904095396516925,Dm_GLUT_confusion,0.14904095396516925,0.12,False,Dm_GLUT_confusion,0.14904095396516925,0.33038679721543207,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.33038679721543207,0.9896462795762428,0.45721733843542545,,0.9991500424978751,-3.3200651484938475,1.0,False,Dm_GLUT_confusion,0.14904095396516925,False,False,,
LPi01,30,0.3533593350214213,GLUT,0.9333333333333332,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,1.0,False,False,False,-3.297653142765595,0.24121511659144734,0.9392537092964663,0.25509932625306475,histamine_blindspot,0.24121511659144734,0.24906688471870347,True,Dm_GLUT_confusion,0.25509932625306475,0.33038679721543207,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.33038679721543207,0.9924345740360158,0.4520562064842776,,0.9994000299985001,-3.313616009997163,1.0,False,Dm_GLUT_confusion,0.25509932625306475,False,False,,
Sm14,35,0.3159971329784246,GLUT,0.9428571428571428,0.0,0.05714285714285714,0.9428571428571428,0.0,0.0,0.0,1.0,False,False,False,-3.668073686839112,0.2522039111892442,0.9436588572678078,0.2689243157722993,histamine_blindspot,0.2522039111892442,0.24906688471870347,False,Dm_GLUT_confusion,0.2689243157722993,0.33038679721543207,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.33038679721543207,0.9924345740360158,0.4520562064842776,,0.9998000099995,-3.8075881536629157,1.0,False,Dm_GLUT_confusion,0.2689243157722993,False,False,,
WED057,21,-0.0,GABA,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False,False,False,-3.790719460160953,0.4065830134715794,0.8430007575133767,0.07010458174424741,Dm_GLUT_confusion,0.07010458174424741,0.12,True,Dm_GLUT_confusion,0.07010458174424741,0.27881383515782765,0.9353203695817162,False,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.27881383515782765,0.913795122983393,0.44686246085331227,,1.0,-3.9616743403484036,1.0,False,Dm_GLUT_confusion,0.07010458174424741,False,False,GABA,False
