fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot
ORN_DM6,44,-0.0,ACH,1.0,ORN_DM6,52,ACH,1.0,True,False
ORN_DP1l,24,-0.0,ACH,1.0,ORN_DP1l,33,ACH,1.0,True,False
PFL1,14,-0.0,ACH,1.0,PFL1,14,ACH,1.0,True,False
ORN_DP1m,32,-0.0,ACH,1.0,ORN_DP1m,31,ACH,1.0,True,False
PEN_b/PEN2,20,-0.0,ACH,1.0,PEN_b/PEN2,22,ACH,1.0,True,False
PEN_a/PEN1,20,-0.0,ACH,1.0,PEN_a/PEN1,20,ACH,1.0,True,False
PEG,20,-0.0,ACH,1.0,PEG,18,ACH,1.0,True,False
ORN_VA5,12,-0.0,ACH,1.0,ORN_VA5,16,ACH,1.0,True,False
PAM12,23,-0.0,DA,1.0,PAM12,22,DA,1.0,True,False
PAM11,16,-0.0,DA,1.0,PAM11,15,DA,1.0,True,False
PAM10,15,-0.0,DA,1.0,PAM10,15,DA,1.0,True,False
PAM08,43,-0.0,DA,1.0,PAM08,50,DA,1.0,True,False
PAM07,18,-0.0,DA,1.0,PAM07,14,DA,1.0,True,False
ORN_VA3,29,-0.0,ACH,1.0,ORN_VA3,30,ACH,1.0,True,False
PAM06,30,-0.0,DA,1.0,PAM06,28,DA,1.0,True,False
ORN_VA4,31,-0.0,ACH,1.0,ORN_VA4,33,ACH,1.0,True,False
PAM05,20,-0.0,DA,1.0,PAM05,20,DA,1.0,True,False
PAM14,10,-0.0,DA,1.0,PAM14,18,DA,1.0,True,False
WED033,14,-0.0,GABA,1.0,WED033,14,GABA,1.0,True,False
TuBu08,22,-0.0,ACH,1.0,TuBu08,21,ACH,1.0,True,False
TuBu07,17,-0.0,ACH,1.0,TuBu07,20,ACH,1.0,True,False
TuBu02,11,-0.0,ACH,1.0,TuBu02,12,ACH,1.0,True,False
TmY20,282,-0.0,ACH,1.0,TmY20,343,ACH,1.0,True,False
TmY15,254,-0.0,GABA,1.0,TmY15,209,GABA,1.0,True,False
MeTu4b,21,-0.0,ACH,1.0,MeTu4b,31,ACH,1.0,True,False
Tm5b,456,-0.0,ACH,1.0,Tm5b,515,ACH,1.0,True,False
Tm5a,451,-0.0,ACH,1.0,Tm5a,605,ACH,1.0,True,False
Tm4,1488,-0.0,ACH,1.0,Tm4,1670,ACH,1.0,True,False
Tm35,118,-0.0,GLUT,1.0,Tm35,86,GLUT,1.0,True,False
Tm34,71,-0.0,GLUT,1.0,Tm34,174,GLUT,1.0,True,False
Tm3,1743,-0.0,ACH,1.0,Tm3,2052,ACH,1.0,True,False
Tm2,1548,-0.0,ACH,1.0,Tm2,1766,ACH,1.0,True,False
Tm16,343,-0.0,ACH,1.0,Tm16,396,ACH,1.0,True,False
Tm1,1553,-0.0,ACH,1.0,Tm1,1777,ACH,1.0,True,False
TRN_VP1m,13,-0.0,ACH,1.0,TRN_VP1m,11,ACH,1.0,True,False
TPMN2,12,-0.0,ACH,1.0,TPMN2,11,ACH,1.0,True,False
T4c,1605,-0.0,ACH,1.0,T4c,1640,ACH,1.0,True,False
T3,1673,-0.0,ACH,1.0,T3,1914,ACH,1.0,True,False
vDeltaK,39,-0.0,ACH,1.0,vDeltaK,30,ACH,1.0,True,False
vDeltaG,19,-0.0,ACH,1.0,vDeltaG,18,ACH,1.0,True,False
vDeltaF,19,-0.0,ACH,1.0,vDeltaF,18,ACH,1.0,True,False
vDeltaE,16,-0.0,ACH,1.0,vDeltaE,18,ACH,1.0,True,False
vDeltaD,22,-0.0,ACH,1.0,vDeltaD,21,ACH,1.0,True,False
hDeltaL,12,-0.0,ACH,1.0,hDeltaL,11,ACH,1.0,True,False
hDeltaK,26,-0.0,SER,1.0,hDeltaK,31,SER,1.0,True,False
hDeltaI,17,-0.0,ACH,1.0,hDeltaI,17,ACH,1.0,True,False
hDeltaC,20,-0.0,ACH,1.0,hDeltaC,20,ACH,1.0,True,False
WED057,21,-0.0,GABA,1.0,WED057,18,GABA,1.0,True,False
WED103,13,-0.0,GLUT,1.0,WED103,12,GLUT,1.0,True,False
WEDPN1A,10,-0.0,GABA,1.0,WEDPN1A,10,GABA,1.0,True,False
Y11,128,-0.0,GLUT,1.0,Y11,151,GLUT,1.0,True,False
Y12,196,-0.0,GLUT,1.0,Y12,186,GLUT,1.0,True,False
Y3,602,-0.0,ACH,1.0,Y3,627,ACH,1.0,True,False
aMe4,14,-0.0,ACH,1.0,aMe4,19,ACH,1.0,True,False
hDeltaA,12,-0.0,ACH,1.0,hDeltaA,12,ACH,1.0,True,False
dorsal_tpGRN,11,-0.0,ACH,1.0,dorsal_tpGRN,10,ACH,1.0,True,False
aPhM1,23,-0.0,ACH,1.0,aPhM1,21,ACH,1.0,True,False
SIP076,19,-0.0,ACH,1.0,SIP076,19,ACH,1.0,True,False
SAD045,11,-0.0,ACH,1.0,SAD045,10,ACH,1.0,True,False
T2a,1753,-0.0,ACH,1.0,T2a,1865,ACH,1.0,True,False
Pm10,46,-0.0,GABA,1.0,Pm10,74,GABA,1.0,True,False
PVLP133,25,-0.0,ACH,1.0,PVLP133,24,ACH,1.0,True,False
PVLP097,14,-0.0,GABA,1.0,PVLP097,14,GABA,1.0,True,False
PVLP008,29,-0.0,GLUT,1.0,"PVLP008_b,PVLP008_c",16,GLUT,1.0,True,False
PVLP007,11,-0.0,GLUT,1.0,PVLP007,11,GLUT,1.0,True,False
PVLP004,29,-0.0,GLUT,1.0,PVLP004,16,GLUT,1.0,True,False
T2,1456,-0.0,ACH,1.0,T2,1627,ACH,1.0,True,False
SLP275,12,-0.0,ACH,1.0,SLP275,10,ACH,1.0,True,False
SLP285,11,-0.0,GLUT,1.0,SLP285,12,GLUT,1.0,True,False
SLP289,10,-0.0,GLUT,1.0,SLP289,11,GLUT,1.0,True,False
SMP018,21,-0.0,ACH,1.0,SMP018,21,ACH,1.0,True,False
SMP106,17,-0.0,GLUT,1.0,SMP106,14,GLUT,1.0,True,False
SMP261,13,-0.0,ACH,1.0,SMP261,13,ACH,1.0,True,False
SMP281,12,-0.0,GLUT,1.0,SMP281,11,GLUT,1.0,True,False
SMP381,14,-0.0,ACH,1.0,"SMP381_a,SMP381_b,SMP381_c",12,ACH,1.0,True,False
SMP406,11,-0.0,ACH,1.0,"SMP406_a,SMP406_b,SMP406_c,SMP406_d,SMP406_e",12,ACH,1.0,True,False
SMP408_d,10,-0.0,ACH,1.0,SMP408_d,10,ACH,1.0,True,False
SMP409,10,-0.0,ACH,1.0,SMP409,11,ACH,1.0,True,False
SMP568,20,-0.0,ACH,1.0,"SMP568_a,SMP568_b,SMP568_c,SMP568_d",21,ACH,1.0,True,False
CB4242,12,-0.0,ACH,1.0,CB4242,13,ACH,1.0,True,False
CL090_c,14,-0.0,ACH,1.0,CL090_c,12,ACH,1.0,True,False
DA1_lPN,15,-0.0,ACH,1.0,DA1_lPN,13,ACH,1.0,True,False
DA2_lPN,11,-0.0,ACH,1.0,DA2_lPN,10,ACH,1.0,True,False
DL3_lPN,10,-0.0,ACH,1.0,DL3_lPN,11,ACH,1.0,True,False
DNg07,16,-0.0,ACH,1.0,DNg07,16,ACH,1.0,True,False
DNg12_b,14,-0.0,ACH,1.0,DNg12_b,10,ACH,1.0,True,False
DNge019,12,-0.0,ACH,1.0,DNge019,11,ACH,1.0,True,False
CB1997,13,-0.0,GLUT,1.0,CB1997,11,GLUT,1.0,True,False
CB2081,17,-0.0,ACH,1.0,"CB2081_a,CB2081_b",18,ACH,1.0,True,False
CB2342,10,-0.0,GLUT,1.0,CB2342,10,GLUT,1.0,True,False
CB2558,10,-0.0,ACH,1.0,CB2558,13,ACH,1.0,True,False
CB2685,11,-0.0,ACH,1.0,CB2685,13,ACH,1.0,True,False
CB2881,12,-0.0,GLUT,1.0,CB2881,12,GLUT,1.0,True,False
FB4Z,12,-0.0,GLUT,1.0,"FB4Z_a,FB4Z_b,FB4Z_c",14,GLUT,1.0,True,False
