cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
Dm3p,681,3,0.355593725736809,GLUT,0.9353891336270191,"{'GLUT': np.int64(637), 'GABA': np.int64(43), 'ACH': np.int64(1)}"
LPi01,30,2,0.35335933502142136,GLUT,0.9333333333333333,"{'GLUT': np.int64(28), 'GABA': np.int64(2)}"
Dm8b,331,4,0.3520569755296152,GLUT,0.9516616314199395,"{'GLUT': np.int64(315), 'ACH': np.int64(7), 'GABA': np.int64(6), 'OCT': np.int64(3)}"
ORN_VM2,32,2,0.3372900666170139,ACH,0.9375,"{'ACH': np.int64(30), 'SER': np.int64(2)}"
ORN_DA4l,32,2,0.3372900666170139,SER,0.9375,"{'SER': np.int64(30), 'ACH': np.int64(2)}"
Sm14,35,2,0.31599713297842463,GLUT,0.9428571428571428,"{'GLUT': np.int64(33), 'GABA': np.int64(2)}"
ORN_DM2,35,2,0.31599713297842463,SER,0.9428571428571428,"{'SER': np.int64(33), 'ACH': np.int64(2)}"
JO-B,86,3,0.30912345376202427,ACH,0.9534883720930233,"{'ACH': np.int64(82), 'SER': np.int64(3), 'GABA': np.int64(1)}"
FS4A,45,3,0.3067556640587811,ACH,0.9555555555555556,"{'ACH': np.int64(43), 'SER': np.int64(1), 'GLUT': np.int64(1)}"
LPi10,37,2,0.30337483608641397,GLUT,0.9459459459459459,"{'GLUT': np.int64(35), 'GABA': np.int64(2)}"
Tm32,167,2,0.30270618933056076,GLUT,0.9461077844311377,"{'GLUT': np.int64(158), 'ACH': np.int64(9)}"
T4d,1220,3,0.301201886956432,ACH,0.9565573770491803,"{'ACH': np.int64(1167), 'GLUT': np.int64(28), 'GABA': np.int64(25)}"
LMt4,39,2,0.29181825659888583,GLUT,0.9487179487179487,"{'GLUT': np.int64(37), 'GABA': np.int64(2)}"
LC12,149,3,0.2805000563057208,ACH,0.959731543624161,"{'ACH': np.int64(143), 'GLUT': np.int64(4), 'OCT': np.int64(2)}"
FS3,51,3,0.27790019762551116,ACH,0.9607843137254902,"{'ACH': np.int64(49), 'SER': np.int64(1), 'GLUT': np.int64(1)}"
Mi14,217,3,0.2698855118299763,GLUT,0.9585253456221198,"{'GLUT': np.int64(208), 'GABA': np.int64(8), 'ACH': np.int64(1)}"
Tm40,23,2,0.2580186686648155,ACH,0.9565217391304348,"{'ACH': np.int64(22), 'GABA': np.int64(1)}"
Lawf1,182,3,0.25795002714933096,ACH,0.9615384615384616,"{'ACH': np.int64(175), 'GABA': np.int64(6), 'GLUT': np.int64(1)}"
LMa5,70,2,0.2552421131901918,GLUT,0.9571428571428572,"{'GLUT': np.int64(67), 'GABA': np.int64(3)}"
ORN_VM6m,24,2,0.24988229283318544,ACH,0.9583333333333334,"{'ACH': np.int64(23), 'GABA': np.int64(1)}"
T5d,1138,3,0.2388913378955883,ACH,0.9666080843585237,"{'ACH': np.int64(1100), 'GLUT': np.int64(28), 'GABA': np.int64(10)}"
FC2B,26,2,0.23519338181924143,ACH,0.9615384615384616,"{'ACH': np.int64(25), 'SER': np.int64(1)}"
Tm5c,533,3,0.2234183481482849,GLUT,0.9662288930581614,"{'GLUT': np.int64(515), 'GABA': np.int64(17), 'ACH': np.int64(1)}"
LPi05,70,3,0.21574768544463674,GLUT,0.9714285714285714,"{'GLUT': np.int64(68), 'ACH': np.int64(1), 'GABA': np.int64(1)}"
LC16,117,2,0.21497820032771042,ACH,0.9658119658119658,"{'ACH': np.int64(113), 'GLUT': np.int64(4)}"
ORN_DA2,30,2,0.21084230031853213,ACH,0.9666666666666667,"{'ACH': np.int64(29), 'SER': np.int64(1)}"
JO-FVA,31,2,0.205592508185083,ACH,0.967741935483871,"{'ACH': np.int64(30), 'SER': np.int64(1)}"
FC2C,33,2,0.19590927087360493,ACH,0.9696969696969697,"{'ACH': np.int64(32), 'SER': np.int64(1)}"
TuBu09,34,2,0.19143325481419343,ACH,0.9705882352941176,"{'ACH': np.int64(33), 'GLUT': np.int64(1)}"
SLP405,34,2,0.19143325481419343,ACH,0.9705882352941176,"{'ACH': np.int64(33), 'SER': np.int64(1)}"
LPi11,35,2,0.18717625687320816,GABA,0.9714285714285714,"{'GABA': np.int64(34), 'GLUT': np.int64(1)}"
Tm5e,414,3,0.16771011196295327,GLUT,0.9782608695652174,"{'GLUT': np.int64(405), 'GABA': np.int64(7), 'ACH': np.int64(2)}"
Tm5d,285,2,0.16633704704670643,GLUT,0.9754385964912281,"{'GLUT': np.int64(278), 'GABA': np.int64(7)}"
vDeltaL,41,2,0.1654270339962668,ACH,0.975609756097561,"{'ACH': np.int64(40), 'SER': np.int64(1)}"
ORN_DM3,41,2,0.1654270339962668,SER,0.975609756097561,"{'SER': np.int64(40), 'ACH': np.int64(1)}"
LC20b,45,2,0.15374218032876188,GLUT,0.9777777777777777,"{'GLUT': np.int64(44), 'ACH': np.int64(1)}"
Dm6,48,2,0.1460942501201363,GABA,0.9791666666666666,"{'GABA': np.int64(47), 'GLUT': np.int64(1)}"
TPMN1,48,2,0.1460942501201363,ACH,0.9791666666666666,"{'ACH': np.int64(47), 'GLUT': np.int64(1)}"
Lawf2,281,3,0.14171190715767118,ACH,0.9822064056939501,"{'ACH': np.int64(276), 'GABA': np.int64(4), 'DA': np.int64(1)}"
vDeltaA_a,52,2,0.1370994788998177,ACH,0.9807692307692307,"{'ACH': np.int64(51), 'DA': np.int64(1)}"
LCe02,52,2,0.1370994788998177,ACH,0.9807692307692307,"{'ACH': np.int64(51), 'GLUT': np.int64(1)}"
