cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
ORN_VA7m,21,-0.0,1.0774806850052105,0.2685712953591708,-4.011898157486465,1.0,1.0,ACH,1.0,1,"{""ACH"": 21}"
LCe01a,21,-0.0,1.0752304056736597,0.2675167677620526,-4.019300975668344,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 21}"
SA_DLV,23,-0.0,1.082172068281296,0.26916665035007487,-4.0204537481661875,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
LPi02,74,0.5713549744279549,1.137834929652965,0.14087609604763443,-4.0211219015713375,1.0,1.0,GLUT,0.8648648648648649,2,"{""GLUT"": 64, ""GABA"": 10}"
MLt8,23,-0.0,1.070351748324289,0.2660942770056392,-4.022453095831165,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
PAM12,23,-0.0,1.071837616968438,0.2657725954645885,-4.032912479538356,1.0,1.0,DA,1.0,1,"{""DA"": 23}"
ORN_DC4,22,-0.0,1.071743063657832,0.26372600747166924,-4.063850486088157,1.0,1.0,ACH,1.0,1,"{""ACH"": 22}"
WED057,21,-0.0,1.06554934485732,0.2621112051531446,-4.065256745642552,1.0,1.0,GABA,1.0,1,"{""GABA"": 21}"
JO-FVA,31,0.205592508185083,1.0928601760265435,0.2174258299839464,-4.08078317055049,1.0,1.0,ACH,0.967741935483871,2,"{""ACH"": 30, ""SER"": 1}"
PLP115_b,22,-0.0,1.081525748202476,0.26459841995188055,-4.087423305094417,1.0,1.0,ACH,1.0,1,"{""ACH"": 22}"
PAM04,23,-0.0,1.0664764247193705,0.2601620875778693,-4.099276857163758,1.0,1.0,DA,1.0,1,"{""DA"": 23}"
LT51,22,-0.0,1.0715664875941286,0.2609837472978491,-4.105874402865392,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 22}"
BM_MaPa,23,-0.0,1.0793364756730401,0.26216553325540715,-4.1170037200181,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
LC14a2,23,-0.0,1.0784049604844006,0.26177151611780436,-4.119642108040085,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
Sm31,23,-0.0,1.0770726452171993,0.2606984126106274,-4.131489081315919,1.0,1.0,GABA,1.0,1,"{""GABA"": 23}"
ER4d,24,-0.0,1.0865151077053816,0.2625814544107369,-4.137821195878616,1.0,1.0,GABA,1.0,1,"{""GABA"": 24}"
TuBu08,22,-0.0,1.0608788120083381,0.2556495816691219,-4.149738110588405,1.0,1.0,ACH,1.0,1,"{""ACH"": 22}"
Li07,22,-0.0,1.0885319765579842,0.2608278947610606,-4.173372551103736,1.0,1.0,GABA,1.0,1,"{""GABA"": 22}"
