root_id,nt_label,partner_Dm8b,partner_Dm8a,partner_Dm9,partner_MeTu3c,partner_R8,partner_Tm5b,partner_Dm11,partner_MeTu3b,partner_Tm5a,partner_L3,partner_DmDRA1,partner_Dm2,partner_Tm20,partner_MeTu2a,partner_Mi15,partner_Sm01,partner_Mi9,partner_aMe12,partner_MeTu3a,partner_Mi4,partner_Tm5d,partner_MeMe_e10,partner_MeTu2b,partner_Tm27,partner_Tm5c,partner_L1,partner_Dm4,partner_DmDRA2,partner_Mi1,partner_R7
720575940619741494,ACH,0.0,0.34328358208955223,0.263681592039801,0.0,0.03980099502487562,0.0,0.04477611940298507,0.17412935323383086,0.06467661691542288,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024875621890547265,0.0,0.0,0.0,0.0,0.0,0.0
720575940619807542,GABA,0.2109375,0.0390625,0.171875,0.1796875,0.0859375,0.0,0.1171875,0.0,0.0,0.0703125,0.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619880758,ACH,0.0,0.0,0.0,0.0,0.2185430463576159,0.0,0.0,0.0,0.0,0.0728476821192053,0.2185430463576159,0.039735099337748346,0.0,0.1986754966887417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1390728476821192,0.11258278145695365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619901598,GLUT,0.24401913875598086,0.0,0.20574162679425836,0.21052631578947367,0.0,0.0,0.028708133971291867,0.16267942583732056,0.0,0.0,0.0,0.028708133971291867,0.0,0.0,0.0,0.0,0.0,0.0,0.0861244019138756,0.0,0.0,0.03349282296650718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619909359,GABA,0.455,0.165,0.14,0.05,0.0,0.03,0.025,0.0,0.045,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619924278,GLUT,0.0,0.3419354838709677,0.0,0.0967741935483871,0.05161290322580645,0.0,0.05806451612903226,0.22580645161290322,0.0,0.03225806451612903,0.0,0.03870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.15483870967741936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620012081,GLUT,0.18666666666666668,0.0,0.30666666666666664,0.04666666666666667,0.07333333333333333,0.06,0.06,0.19333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620168241,GLUT,0.37790697674418605,0.0,0.0,0.3023255813953488,0.040697674418604654,0.06976744186046512,0.09302325581395349,0.040697674418604654,0.0,0.040697674418604654,0.0,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620451800,GLUT,0.08450704225352113,0.38028169014084506,0.15492957746478872,0.0,0.11267605633802817,0.0,0.0,0.0,0.0,0.07042253521126761,0.0,0.11267605633802817,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620453169,ACH,0.0,0.4391891891891892,0.17567567567567569,0.0472972972972973,0.0,0.0,0.04054054054054054,0.16216216216216217,0.0,0.0,0.0,0.0472972972972973,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620511793,GABA,0.3135593220338983,0.059322033898305086,0.288135593220339,0.0,0.05084745762711865,0.11016949152542373,0.06779661016949153,0.0,0.059322033898305086,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620643787,ACH,0.1651376146788991,0.3669724770642202,0.10091743119266056,0.0,0.09174311926605505,0.0,0.08256880733944955,0.0,0.08256880733944955,0.0,0.0,0.0,0.11009174311926606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
