cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
Dm1,45,2,0.5665095065529053,GABA,0.8666666666666667,"{""GABA"": 39, ""GLUT"": 6}"
Mi15,697,4,0.536388541555014,ACH,0.8852223816355811,"{""ACH"": 617, ""GLUT"": 78, ""SER"": 1, ""GABA"": 1}"
SA_DMT_DMetaN_12,23,3,0.5131851787372753,ACH,0.9130434782608695,"{""ACH"": 21, ""SER"": 1, ""GLUT"": 1}"
Dm15,312,3,0.5012507930905181,GLUT,0.9006410256410257,"{""GLUT"": 281, ""GABA"": 29, ""ACH"": 2}"
hDeltaJ,28,2,0.49123734182433315,ACH,0.8928571428571429,"{""ACH"": 25, ""SER"": 3}"
DmDRA1,37,3,0.4804334574529622,GLUT,0.918918918918919,"{""GLUT"": 34, ""GABA"": 2, ""ACH"": 1}"
WED040,10,2,0.4689955935892812,GLUT,0.9,"{""GLUT"": 9, ""ACH"": 1}"
AN_GNG_164,10,2,0.4689955935892812,ACH,0.9,"{""ACH"": 9, ""SER"": 1}"
SA_DMT_ADMN_11,10,2,0.4689955935892812,ACH,0.9,"{""ACH"": 9, ""GLUT"": 1}"
TuBu05,10,2,0.4689955935892812,ACH,0.9,"{""ACH"": 9, ""GABA"": 1}"
LB1c,10,2,0.4689955935892812,SER,0.9,"{""SER"": 9, ""ACH"": 1}"
FB5R,10,2,0.4689955935892812,GLUT,0.9,"{""GLUT"": 9, ""DA"": 1}"
SMP107,10,2,0.4689955935892812,GLUT,0.9,"{""GLUT"": 9, ""ACH"": 1}"
ORN_DA1,102,2,0.4305518670104394,ACH,0.9117647058823529,"{""ACH"": 93, ""SER"": 9}"
ORN_DA4m,23,2,0.4262286569981449,SER,0.9130434782608695,"{""SER"": 21, ""ACH"": 2}"
LPi06,24,2,0.41381685030363374,GLUT,0.9166666666666666,"{""GLUT"": 22, ""GABA"": 2}"
CL123,12,2,0.41381685030363374,ACH,0.9166666666666666,"{""ACH"": 11, ""SER"": 1}"
LC24,73,2,0.409855370318405,ACH,0.9178082191780822,"{""ACH"": 67, ""GLUT"": 6}"
L4,1110,3,0.3976686342847273,ACH,0.9378378378378378,"{""ACH"": 1041, ""GLUT"": 38, ""GABA"": 31}"
Tm33,104,3,0.3956193268288006,GLUT,0.9326923076923077,"{""GLUT"": 97, ""GABA"": 6, ""ACH"": 1}"
OCC02b,13,2,0.39124356362925566,GLUT,0.9230769230769231,"{""GLUT"": 12, ""ACH"": 1}"
JO-EVL,13,2,0.39124356362925566,ACH,0.9230769230769231,"{""ACH"": 12, ""GLUT"": 1}"
Sm09,134,3,0.3890516114819449,GLUT,0.9328358208955224,"{""GLUT"": 125, ""GABA"": 8, ""ACH"": 1}"
Dm3q,622,4,0.38611167247097283,GLUT,0.932475884244373,"{""GLUT"": 580, ""GABA"": 39, ""ACH"": 2, ""OCT"": 1}"
Sm15,101,3,0.38448813823925043,GLUT,0.9405940594059405,"{""GLUT"": 95, ""ACH"": 3, ""GABA"": 3}"
Dm3p,681,3,0.355593725736809,GLUT,0.9353891336270191,"{""GLUT"": 637, ""GABA"": 43, ""ACH"": 1}"
LPi01,30,2,0.35335933502142136,GLUT,0.9333333333333333,"{""GLUT"": 28, ""GABA"": 2}"
MeMe_e02,15,2,0.35335933502142136,GLUT,0.9333333333333333,"{""GLUT"": 14, ""GABA"": 1}"
Dm8b,331,4,0.3520569755296152,GLUT,0.9516616314199395,"{""GLUT"": 315, ""ACH"": 7, ""GABA"": 6, ""OCT"": 3}"
ORN_DA4l,32,2,0.3372900666170139,SER,0.9375,"{""SER"": 30, ""ACH"": 2}"
ORN_VM2,32,2,0.3372900666170139,ACH,0.9375,"{""ACH"": 30, ""SER"": 2}"
vDeltaI_a,16,2,0.3372900666170139,ACH,0.9375,"{""ACH"": 15, ""SER"": 1}"
EL,16,2,0.3372900666170139,GABA,0.9375,"{""GABA"": 15, ""OCT"": 1}"
ORN_VC2,16,2,0.3372900666170139,ACH,0.9375,"{""ACH"": 15, ""SER"": 1}"
CB1079,17,2,0.3227569588973982,GABA,0.9411764705882353,"{""GABA"": 16, ""GLUT"": 1}"
Sm14,35,2,0.31599713297842463,GLUT,0.9428571428571428,"{""GLUT"": 33, ""GABA"": 2}"
ORN_DM2,35,2,0.31599713297842463,SER,0.9428571428571428,"{""SER"": 33, ""ACH"": 2}"
